,GL5_INLET,GL5_LAKE,GL5_OUTLET,GL4_INLET,GL4_LAKE,GL4_OUTLET,GL3_INLET,GL3_LAKE,GL3_OUTLET,GL2_LAKE,GL1_LAKE,ALB_INLET,ALB_LAKE,ALB_OUTLET
GL5_INLET,0,0.211,0.441,1.035,1.255,1.536,1.968,2.101,2.289,2.591,3.437,3.069,3.409,3.562
GL5_LAKE,,0,0.23,0.824,1.044,1.325,1.757,1.89,2.078,2.38,3.226,2.858,3.198,3.351
GL5_OUTLET,,,0,0.594,0.814,1.095,1.527,1.66,1.848,2.15,2.996,2.628,2.968,3.121
GL4_INLET,,,,0,0.22,0.507,0.939,1.072,1.26,1.562,2.408,2.04,2.38,2.533
GL4_LAKE,,,,,0,0.281,0.713,0.846,1.034,1.336,2.182,1.814,2.154,2.307
GL4_OUTLET,,,,,,0,0.432,0.565,0.753,1.055,1.901,1.533,1.873,2.026
GL3_INLET,,,,,,,0,0.133,0.321,0.623,1.469,1.101,1.441,1.594
GL3_LAKE,,,,,,,,0,0.188,0.49,1.336,0.968,1.308,1.461
GL3_OUTLET,,,,,,,,,0,0.302,1.148,0.78,1.12,1.273
GL2_LAKE,,,,,,,,,,0,0.846,0.478,0.818,0.153
GL1_LAKE,,,,,,,,,,,0,0.368,0.289,0.703
ALB_INLET,,,,,,,,,,,,0,0.34,0.493
ALB_LAKE,,,,,,,,,,,,,0,0.153
ALB_OUTLET,,,,,,,,,,,,,,0
