site,arik_flow_site,network_position,lat,long,notes,eco_type
ALB_CAMP,NA,15,40.04287468,-105.592296,,stream
ALB_INLET,NA,12,40.047178,-105.607123,,stream
ALB_LAKE,NA,13,40.046352,-105.604015,,lake
ALB_OUTLET,NA,14,40.045151,-105.602094,,stream
ARIKAREE,NAVAJO,1,40.05057403,-105.6428909,,glacier
FLUME,NA,16,40.01368597,-105.5578493,,stream
GL1_LAKE,NA,1,40.049773,-105.60542,flows into Albion Lake,lake
GL2_LAKE,NA,11,40.04934,-105.611345,,lake
GL3_INLET,NA,8,40.052614,-105.615705,,stream
GL3_LAKE,NA,9,40.051527,-105.616125,,lake
GL3_OUTLET,NA,10,40.050867,-105.614129,,stream
GL4_INLET,NA,5,40.053929,-105.622126,,stream
GL4_LAKE,NA,6,40.055253,-105.620318,,lake
GL4_OUTLET,NA,7,40.055807,-105.617178,,stream
GL4_WATERFALL,NA,,,,,
GL4_WATERFALL TOP,NA,,,,,
GL5_INLET,NA,2,40.05142,-105.631877,,stream
GL5_LAKE,NA,3,40.052439,-105.630303,,lake
GL5_OUTLET,NA,4,40.053672,-105.628126,,stream
